symbol,isin,name,face_value,coupon_rate,coupon_frequency,maturity_date,close_price,description
667GS2035,IN0020210152,GOVERNMENT OF INDIA 30734 GOI 15DC35,100,0.0667,2,2035-12-15,104.79,GOVERNMENT OF INDIA 30734 GOI 15DC35 6.67 FV RS 100
633GS2035,IN0020250026,GOVERNMENT OF INDIA 35943 GOI 05MY35,100,0.0633,2,2035-05-05,99.5,GOVERNMENT OF INDIA 35943 GOI 05MY35 6.33 FV RS 100
766ML32,IN2420230053,STATE DEVELOPMENT LOAN 33652 MEG 22NV32,100,0.0766,2,2032-11-22,99.28,STATE DEVELOPMENT LOAN 33652 MEG 22NV32 7.66 FV RS 100
741GS2036,IN0020220102,GOVERNMENT OF INDIA 32410 GOI 19DC36,100,0.0741,2,2036-12-19,109,GOVERNMENT OF INDIA 32410 GOI 19DC36 7.41 FV RS 100
772GS2055,IN0020150077,GOVERNMENT OF INDIA 17947 GOI 26OT55,100,0.07719999999999999,2,2055-10-26,109,GOVERNMENT OF INDIA 17947 GOI 26OT55 7.72 FV RS 100
74GS2062,IN0020220094,GOVERNMENT OF INDIA 31987 GOI 19SP62,100,0.07400000000000001,2,2062-09-19,102.1,GOVERNMENT OF INDIA 31987 GOI 19SP62 7.4 FV RS 100
734GS2064,IN0020240035,GOVERNMENT OF INDIA 34238 GOI 22AP64,100,0.07339999999999999,2,2064-04-22,100.48,GOVERNMENT OF INDIA 34238 GOI 22AP64 7.34 FV RS 100
676GS2061,IN0020200401,GOVERNMENT OF INDIA 30049 GOI 22FB61,100,0.0676,2,2061-02-22,95.26,GOVERNMENT OF INDIA 30049 GOI 22FB61 6.76 FV RS 100
690GS2065,IN0020250018,GOVERNMENT OF INDIA 35840 GOI 15AP65,100,0.069,2,2065-04-15,95.39,GOVERNMENT OF INDIA 35840 GOI 15AP65 6.9 FV RS 100
709GS2074,IN0020240142,GOVERNMENT OF INDIA 35168 GOI 25NV74,100,0.0709,2,2074-11-25,96.19,GOVERNMENT OF INDIA 35168 GOI 25NV74 7.09 FV RS 100
725GS2063,IN0020230044,GOVERNMENT OF INDIA 33002 GOI 12JU63,100,0.0725,2,2063-06-12,102.2,GOVERNMENT OF INDIA 33002 GOI 12JU63 7.25 FV RS 100
92GS2030,IN0020130053,GOVERNMENT OF INDIA 16467 GOI 30SP30,100,0.092,2,2030-09-30,114.65,GOVERNMENT OF INDIA 16467 GOI 30SP30 9.20 FV RS 100
73GS2053,IN0020230051,GOVERNMENT OF INDIA 33071 GOI 19JU53,100,0.073,2,2053-06-19,103.6,GOVERNMENT OF INDIA 33071 GOI 19JU53 7.3 FV RS 100
