Date,Bond_Name,Predicted_Price,Maturity_Date,Coupon
2025-12-04,GOVERNMENT OF INDIA 04010 GOI 10AG34,109.94326777494899,2034-08-10,0.075
2025-12-04,GOVERNMENT OF INDIA 05002 GOI 09SP35,109.24420712186026,2035-09-09,0.074
2025-12-04,GOVERNMENT OF INDIA 06009 GOI 07JN36,117.96872659527824,2036-01-07,0.0833
2025-12-04,GOVERNMENT OF INDIA 07004 GOI 15FB27,105.56082953409059,2027-02-15,0.0824
2025-12-04,GOVERNMENT OF INDIA 07005 GOI 15FB32,112.93356373219564,2032-02-15,0.0828
2025-12-04,GOVERNMENT OF INDIA 07009 GOI 02AG27,106.9268109266294,2027-08-02,0.0825999999999999
2025-12-04,GOVERNMENT OF INDIA 07010 GOI 02AG32,113.82788528741975,2032-08-02,0.0832
2025-12-04,GOVERNMENT OF INDIA 07012 GOI 21SP27,106.12067381191416,2027-09-21,0.0828
2025-12-04,GOVERNMENT OF INDIA 07013 GOI 21SP32,112.86165935302535,2032-09-21,0.0833
2025-12-04,GOVERNMENT OF INDIA 09001 GOI 19JAN39,106.4221957404011,2039-01-19,0.0683
2025-12-04,GOVERNMENT OF INDIA 10003 GOI 02JL40,120.77069402116852,2040-07-02,0.083
2025-12-04,GOVERNMENT OF INDIA 11007 GOI 05DC30,116.78300482073577,2030-12-05,0.0897
2025-12-04,GOVERNMENT OF INDIA 11008 GOI 12DC41,126.2938870808122,2041-12-12,0.0883
2025-12-04,GOVERNMENT OF INDIA 12005 GOI 09JL26,105.04673745989486,2026-07-09,0.0833
2025-12-04,GOVERNMENT OF INDIA 16467 GOI 30SP30,114.60649247120807,2030-09-30,0.092
2025-12-04,GOVERNMENT OF INDIA 16634 GOI 23DC43,128.47707327521235,2043-12-23,0.0923
2025-12-04,GOVERNMENT OF INDIA 16937 GOI 02JU28,106.57086646852511,2028-06-02,0.086
2025-12-04,GOVERNMENT OF INDIA 17224 GOI 10NV33,112.28749847556273,2033-11-10,0.0824
2025-12-04,GOVERNMENT OF INDIA 17255 GOI 24NV26,102.70877447107527,2026-11-24,0.0815
2025-12-04,GOVERNMENT OF INDIA 17279 GOI 01DC44,111.48534889845851,2044-12-01,0.0817
