account_id,date,type,operation,amount,balance,k_symbol,bank,account
2464,1998-12-23,EXPENSE,WITHDRAWAL,5700.0,67362.0,UNKNOWN,,
2579,1998-12-23,EXPENSE,WITHDRAWAL,3840.0,21632.4,UNKNOWN,,
2580,1998-12-23,EXPENSE,WITHDRAWAL,3400.0,66902.0,UNKNOWN,,
2589,1998-12-23,EXPENSE,WITHDRAWAL,800.0,13821.2,UNKNOWN,,
2265,1998-12-23,EXPENSE,WITHDRAWAL,1500.0,48604.1,UNKNOWN,,
2515,1998-12-23,INCOME,DEPOSIT,28241.0,42856.1,UNKNOWN,,
2511,1998-12-23,EXPENSE,WITHDRAWAL,2640.0,43397.8,UNKNOWN,,
2007,1998-12-23,EXPENSE,WITHDRAWAL,40800.0,62711.7,UNKNOWN,,
2125,1998-12-23,INCOME,DEPOSIT,41215.0,108030.7,UNKNOWN,,
2124,1998-12-23,EXPENSE,CARD WITHDRAWAL,2100.0,80642.5,UNKNOWN,,0.0
2127,1998-12-23,EXPENSE,WITHDRAWAL,270.0,15018.7,UNKNOWN,,
2125,1998-12-23,EXPENSE,WITHDRAWAL,54700.0,53330.7,UNKNOWN,,
5283,1998-12-23,EXPENSE,WITHDRAWAL,3600.0,57512.5,UNKNOWN,,
5270,1998-12-23,EXPENSE,WITHDRAWAL,10800.0,94960.0,UNKNOWN,,
6678,1998-12-23,WITHDRAWAL,WITHDRAWAL,17000.0,28058.4,UNKNOWN,,
6473,1998-12-23,EXPENSE,WITHDRAWAL,7900.0,31610.8,UNKNOWN,,0.0
6555,1998-12-23,EXPENSE,WITHDRAWAL,9600.0,73797.1,UNKNOWN,,
6555,1998-12-23,EXPENSE,WITHDRAWAL,5100.0,68697.1,UNKNOWN,,0.0
9225,1998-12-23,INCOME,DEPOSIT,19079.0,93929.0,UNKNOWN,,
9153,1998-12-23,EXPENSE,WITHDRAWAL,3520.0,53696.5,UNKNOWN,,
3149,1998-12-23,EXPENSE,WITHDRAWAL,800.0,45967.9,UNKNOWN,,
3472,1998-12-23,EXPENSE,WITHDRAWAL,2000.0,54832.8,UNKNOWN,,
3463,1998-12-23,EXPENSE,WITHDRAWAL,2300.0,30579.9,UNKNOWN,,
2903,1998-12-23,EXPENSE,WITHDRAWAL,2240.0,42336.1,UNKNOWN,,
2912,1998-12-23,INCOME,DEPOSIT,11759.0,68322.5,UNKNOWN,,
1727,1998-12-23,EXPENSE,WITHDRAWAL,1440.0,41859.3,UNKNOWN,,
2882,1998-12-23,INCOME,DEPOSIT,12355.0,38273.6,UNKNOWN,,
3602,1998-12-23,EXPENSE,CARD WITHDRAWAL,3400.0,54171.2,UNKNOWN,,0.0
689,1998-12-23,WITHDRAWAL,WITHDRAWAL,14717.0,47070.7,UNKNOWN,,
871,1998-12-23,EXPENSE,CARD WITHDRAWAL,2600.0,18503.4,UNKNOWN,,0.0
870,1998-12-23,EXPENSE,WITHDRAWAL,2720.0,21231.9,UNKNOWN,,
967,1998-12-23,EXPENSE,WITHDRAWAL,14100.0,27187.6,UNKNOWN,,
960,1998-12-23,WITHDRAWAL,WITHDRAWAL,10005.0,89678.1,UNKNOWN,,
1393,1998-12-23,EXPENSE,WITHDRAWAL,3680.0,32013.2,UNKNOWN,,
1381,1998-12-23,EXPENSE,WITHDRAWAL,1000.0,20142.6,UNKNOWN,,
653,1998-12-23,EXPENSE,WITHDRAWAL,4000.0,30472.9,UNKNOWN,,
655,1998-12-23,EXPENSE,WITHDRAWAL,25200.0,68092.0,UNKNOWN,,
671,1998-12-23,EXPENSE,WITHDRAWAL,1900.0,12180.7,UNKNOWN,,
3495,1998-12-23,INCOME,DEPOSIT,30557.0,112349.5,UNKNOWN,,
3496,1998-12-23,EXPENSE,WITHDRAWAL,5400.0,70714.7,UNKNOWN,,
3499,1998-12-23,WITHDRAWAL,WITHDRAWAL,11887.0,56155.1,UNKNOWN,,
3495,1998-12-23,EXPENSE,WITHDRAWAL,27500.0,84849.5,UNKNOWN,,
9869,1998-12-23,EXPENSE,WITHDRAWAL,11200.0,87738.4,UNKNOWN,,
11328,1998-12-23,WITHDRAWAL,WITHDRAWAL,14340.0,63285.2,UNKNOWN,,
3259,1998-12-23,EXPENSE,CARD WITHDRAWAL,600.0,51494.0,UNKNOWN,,0.0
3448,1998-12-23,EXPENSE,WITHDRAWAL,38100.0,29182.4,UNKNOWN,,
3449,1998-12-23,EXPENSE,CARD WITHDRAWAL,800.0,50948.5,UNKNOWN,,0.0
3824,1998-12-23,EXPENSE,WITHDRAWAL,1300.0,33449.9,UNKNOWN,,
3827,1998-12-23,EXPENSE,WITHDRAWAL,2200.0,42741.1,UNKNOWN,,
8260,1998-12-23,EXPENSE,WITHDRAWAL,8100.0,67984.4,UNKNOWN,,
8261,1998-12-23,EXPENSE,WITHDRAWAL,5400.0,62780.5,UNKNOWN,,
333,1998-12-23,EXPENSE,WITHDRAWAL,780.0,20974.2,UNKNOWN,,
327,1998-12-23,EXPENSE,WITHDRAWAL,2400.0,64331.8,UNKNOWN,,
341,1998-12-23,EXPENSE,WITHDRAWAL,2100.0,14238.2,UNKNOWN,,
625,1998-12-23,EXPENSE,WITHDRAWAL,42700.0,31135.3,UNKNOWN,,
296,1998-12-23,EXPENSE,WITHDRAWAL,420.0,13990.8,UNKNOWN,,
297,1998-12-23,INCOME,DEPOSIT,46581.0,61358.1,UNKNOWN,,
2075,1998-12-23,EXPENSE,WITHDRAWAL,300.0,19741.8,UNKNOWN,,
8564,1998-12-23,WITHDRAWAL,WITHDRAWAL,3282.0,55488.1,UNKNOWN,,
1679,1998-12-23,EXPENSE,WITHDRAWAL,1440.0,61333.8,UNKNOWN,,
1767,1998-12-23,EXPENSE,WITHDRAWAL,21600.0,52184.4,UNKNOWN,,
2497,1998-12-24,EXPENSE,WITHDRAWAL,1080.0,37893.9,UNKNOWN,,
2506,1998-12-24,EXPENSE,WITHDRAWAL,8400.0,92693.5,UNKNOWN,,
2737,1998-12-24,EXPENSE,WITHDRAWAL,800.0,60565.7,UNKNOWN,,
3558,1998-12-24,WITHDRAWAL,WITHDRAWAL,17955.0,71386.9,UNKNOWN,,
3562,1998-12-24,WITHDRAWAL,WITHDRAWAL,2891.0,53058.4,UNKNOWN,,
3564,1998-12-24,EXPENSE,WITHDRAWAL,1400.0,38493.4,UNKNOWN,,
2374,1998-12-24,EXPENSE,WITHDRAWAL,1020.0,28956.0,UNKNOWN,,
2371,1998-12-24,WITHDRAWAL,WITHDRAWAL,3008.0,32556.6,UNKNOWN,,
7632,1998-12-24,EXPENSE,WITHDRAWAL,5400.0,55521.8,UNKNOWN,,
7618,1998-12-24,EXPENSE,WITHDRAWAL,8700.0,18054.8,UNKNOWN,,
9051,1998-12-24,WITHDRAWAL,WITHDRAWAL,3950.0,23013.1,UNKNOWN,,
3128,1998-12-24,EXPENSE,WITHDRAWAL,1800.0,69090.9,UNKNOWN,,
3282,1998-12-24,INCOME,DEPOSIT,14486.0,31711.5,UNKNOWN,,
3648,1998-12-24,EXPENSE,WITHDRAWAL,660.0,38373.3,UNKNOWN,,
5817,1998-12-24,WITHDRAWAL,WITHDRAWAL,9984.0,40598.6,UNKNOWN,,
5878,1998-12-24,EXPENSE,WITHDRAWAL,2080.0,81400.1,UNKNOWN,,
5944,1998-12-24,EXPENSE,WITHDRAWAL,4800.0,62199.7,UNKNOWN,,
5870,1998-12-24,EXPENSE,WITHDRAWAL,5400.0,73830.9,UNKNOWN,,
158,1998-12-24,EXPENSE,WITHDRAWAL,32000.0,17133.7,UNKNOWN,,
170,1998-12-24,EXPENSE,WITHDRAWAL,1200.0,55883.4,UNKNOWN,,
172,1998-12-24,EXPENSE,WITHDRAWAL,5760.0,64442.3,UNKNOWN,,
112,1998-12-24,EXPENSE,WITHDRAWAL,1150.0,51602.3,UNKNOWN,,
127,1998-12-24,EXPENSE,WITHDRAWAL,570.0,17473.5,UNKNOWN,,
128,1998-12-24,EXPENSE,CARD WITHDRAWAL,1400.0,74400.5,UNKNOWN,,0.0
3049,1998-12-24,EXPENSE,WITHDRAWAL,690.0,62696.8,UNKNOWN,,
3053,1998-12-24,EXPENSE,WITHDRAWAL,4100.0,86632.3,UNKNOWN,,
1703,1998-12-24,EXPENSE,WITHDRAWAL,2000.0,23685.4,UNKNOWN,,
1884,1998-12-24,EXPENSE,WITHDRAWAL,700.0,16631.6,UNKNOWN,,
6273,1998-12-24,INCOME,DEPOSIT,16526.0,65410.6,UNKNOWN,,
6265,1998-12-24,EXPENSE,CARD WITHDRAWAL,1800.0,34232.4,UNKNOWN,,0.0
6158,1998-12-24,EXPENSE,WITHDRAWAL,2400.0,36572.1,UNKNOWN,,
3991,1998-12-24,EXPENSE,WITHDRAWAL,900.0,31907.7,UNKNOWN,,
919,1998-12-24,EXPENSE,WITHDRAWAL,2240.0,38201.7,UNKNOWN,,
922,1998-12-24,EXPENSE,WITHDRAWAL,1600.0,62552.6,UNKNOWN,,
925,1998-12-24,EXPENSE,WITHDRAWAL,15200.0,59368.2,UNKNOWN,,
920,1998-12-24,EXPENSE,WITHDRAWAL,2200.0,16007.5,UNKNOWN,,
1023,1998-12-24,EXPENSE,CARD WITHDRAWAL,2600.0,41202.0,UNKNOWN,,0.0
1036,1998-12-24,EXPENSE,CARD WITHDRAWAL,700.0,77936.9,UNKNOWN,,0.0
2219,1998-12-24,EXPENSE,CARD WITHDRAWAL,7200.0,43945.5,UNKNOWN,,0.0
811,1998-12-24,EXPENSE,WITHDRAWAL,27700.0,57580.6,UNKNOWN,,
804,1998-12-24,EXPENSE,CARD WITHDRAWAL,1000.0,71210.5,UNKNOWN,,0.0
807,1998-12-24,EXPENSE,WITHDRAWAL,9700.0,41997.3,UNKNOWN,,
3671,1998-12-24,EXPENSE,WITHDRAWAL,1520.0,12700.3,UNKNOWN,,
4055,1998-12-24,EXPENSE,WITHDRAWAL,21000.0,27872.7,UNKNOWN,,
4082,1998-12-24,WITHDRAWAL,WITHDRAWAL,10828.0,20327.8,UNKNOWN,,
10630,1998-12-24,EXPENSE,WITHDRAWAL,720.0,36589.5,UNKNOWN,,
471,1998-12-24,EXPENSE,CARD WITHDRAWAL,1300.0,49665.8,UNKNOWN,,0.0
481,1998-12-24,EXPENSE,WITHDRAWAL,650.0,57792.8,UNKNOWN,,
595,1998-12-24,EXPENSE,WITHDRAWAL,5700.0,87303.2,UNKNOWN,,
462,1998-12-24,EXPENSE,WITHDRAWAL,1680.0,44759.7,UNKNOWN,,
458,1998-12-24,EXPENSE,WITHDRAWAL,1300.0,62726.6,UNKNOWN,,
2058,1998-12-24,EXPENSE,WITHDRAWAL,1920.0,13594.6,UNKNOWN,,
2302,1998-12-24,EXPENSE,WITHDRAWAL,900.0,31442.2,UNKNOWN,,
2640,1998-12-24,EXPENSE,CARD WITHDRAWAL,2500.0,69909.5,UNKNOWN,,0.0
2647,1998-12-24,EXPENSE,WITHDRAWAL,2900.0,104333.9,UNKNOWN,,
10884,1998-12-24,EXPENSE,WITHDRAWAL,1500.0,83037.4,UNKNOWN,,
1824,1998-12-24,EXPENSE,WITHDRAWAL,4560.0,71757.6,UNKNOWN,,
1948,1998-12-24,EXPENSE,WITHDRAWAL,3000.0,61767.1,UNKNOWN,,
1934,1998-12-24,EXPENSE,WITHDRAWAL,3360.0,75169.7,UNKNOWN,,
4746,1998-12-24,INCOME,DEPOSIT,19829.0,60486.4,UNKNOWN,,
4596,1998-12-24,EXPENSE,WITHDRAWAL,3000.0,45662.0,UNKNOWN,,
6792,1998-12-24,EXPENSE,WITHDRAWAL,1700.0,40735.9,UNKNOWN,,0.0
1332,1998-12-24,EXPENSE,WITHDRAWAL,20400.0,96245.7,UNKNOWN,,
1823,1998-12-24,EXPENSE,WITHDRAWAL,850.0,20089.0,UNKNOWN,,
2657,1998-12-24,EXPENSE,WITHDRAWAL,950.0,28132.5,UNKNOWN,,
1180,1998-12-24,EXPENSE,WITHDRAWAL,3200.0,84006.1,UNKNOWN,,
1206,1998-12-24,EXPENSE,WITHDRAWAL,1150.0,17073.2,UNKNOWN,,
4195,1998-12-24,INCOME,DEPOSIT,26812.0,87259.6,UNKNOWN,,
2938,1998-12-24,EXPENSE,WITHDRAWAL,8700.0,49954.4,UNKNOWN,,
2945,1998-12-24,EXPENSE,WITHDRAWAL,900.0,14103.8,UNKNOWN,,
2932,1998-12-24,INCOME,DEPOSIT,13428.0,33870.2,UNKNOWN,,
3291,1998-12-24,EXPENSE,WITHDRAWAL,2240.0,17418.0,UNKNOWN,,
11054,1998-12-24,EXPENSE,WITHDRAWAL,3900.0,52836.8,UNKNOWN,,
11021,1998-12-24,INCOME,DEPOSIT,42890.0,160348.0,UNKNOWN,,
11021,1998-12-24,EXPENSE,WITHDRAWAL,48600.0,111748.0,UNKNOWN,,
3330,1998-12-24,EXPENSE,WITHDRAWAL,3900.0,49702.8,UNKNOWN,,
3538,1998-12-24,EXPENSE,CARD WITHDRAWAL,2600.0,49080.1,UNKNOWN,,0.0
3529,1998-12-24,EXPENSE,WITHDRAWAL,3680.0,70316.5,UNKNOWN,,
3932,1998-12-24,EXPENSE,WITHDRAWAL,450.0,17021.4,UNKNOWN,,
9455,1998-12-24,EXPENSE,WITHDRAWAL,1800.0,62126.2,UNKNOWN,,
9549,1998-12-24,EXPENSE,WITHDRAWAL,2100.0,52764.8,UNKNOWN,,
508,1998-12-24,EXPENSE,WITHDRAWAL,150.0,22524.3,UNKNOWN,,
518,1998-12-24,EXPENSE,WITHDRAWAL,350.0,18172.0,UNKNOWN,,
521,1998-12-24,WITHDRAWAL,WITHDRAWAL,13701.0,36527.2,UNKNOWN,,
389,1998-12-24,EXPENSE,WITHDRAWAL,1280.0,21000.1,UNKNOWN,,
386,1998-12-24,EXPENSE,CARD WITHDRAWAL,1900.0,80340.9,UNKNOWN,,0.0
408,1998-12-24,EXPENSE,CARD WITHDRAWAL,3200.0,84476.6,UNKNOWN,,0.0
1967,1998-12-24,EXPENSE,WITHDRAWAL,29300.0,27717.0,UNKNOWN,,
2173,1998-12-24,EXPENSE,WITHDRAWAL,560.0,33881.5,UNKNOWN,,
2170,1998-12-24,INCOME,DEPOSIT,16900.0,82242.0,UNKNOWN,,
2537,1998-12-24,EXPENSE,WITHDRAWAL,7200.0,24491.2,UNKNOWN,,
9707,1998-12-24,INCOME,DEPOSIT,6600.0,73767.8,UNKNOWN,,
1749,1998-12-24,EXPENSE,WITHDRAWAL,6600.0,70383.9,UNKNOWN,,
1854,1998-12-24,EXPENSE,WITHDRAWAL,18400.0,44632.6,UNKNOWN,,
4321,1998-12-24,EXPENSE,WITHDRAWAL,8100.0,94551.4,UNKNOWN,,
4268,1998-12-24,EXPENSE,WITHDRAWAL,4320.0,61696.2,UNKNOWN,,
5602,1998-12-24,INCOME,DEPOSIT,33410.0,67536.1,UNKNOWN,,
5477,1998-12-24,EXPENSE,CARD WITHDRAWAL,2400.0,94752.9,UNKNOWN,,0.0
5591,1998-12-24,EXPENSE,WITHDRAWAL,3900.0,63686.5,UNKNOWN,,
10607,1998-12-24,EXPENSE,WITHDRAWAL,5100.0,81951.8,UNKNOWN,,
1230,1998-12-24,EXPENSE,WITHDRAWAL,15700.0,60675.3,UNKNOWN,,
1215,1998-12-24,EXPENSE,WITHDRAWAL,750.0,32028.4,UNKNOWN,,
1229,1998-12-24,EXPENSE,WITHDRAWAL,2400.0,42465.4,UNKNOWN,,
1221,1998-12-24,WITHDRAWAL,WITHDRAWAL,18232.0,18286.6,UNKNOWN,,
1362,1998-12-24,INCOME,DEPOSIT,33084.0,60845.1,UNKNOWN,,
1490,1998-12-24,INCOME,DEPOSIT,19292.0,73885.8,UNKNOWN,,
1479,1998-12-24,EXPENSE,WITHDRAWAL,1290.0,14950.5,UNKNOWN,,
2551,1998-12-24,EXPENSE,WITHDRAWAL,14300.0,16517.4,UNKNOWN,,
1067,1998-12-24,INCOME,DEPOSIT,22707.0,112506.1,UNKNOWN,,
