history_window_start_year,history_window_start_month,history_window_start_day,history_window_end_year,history_window_end_month,history_window_end_day,prediction_window_start_year,prediction_window_start_month,prediction_window_start_day,prediction_window_end_year,prediction_window_end_month,prediction_window_end_day,income_amount,expense_amount,withdrawal_amount,balance_mean,balance_median,balance_std,balance_eod,amount_mean,amount_median,amount_std,amount_min,amount_max,type_INCOME_count,type_EXPENSE_count,type_WITHDRAWAL_count,operation_DEPOSIT_count,operation_WITHDRAWAL_count,operation_CARD WITHDRAWAL_count,operation_TRANSFER TO ACCOUNT_count,operation_TRANSFER FROM ACCOUNT_count,k_symbol_PENSION_count,k_symbol_INTEREST_count,k_symbol_SIPO PAYMENT_count,k_symbol_SERVICES_count,k_symbol_INSURANCE_count,k_symbol_LOAN_count,k_symbol_PENALTY INTEREST_count,k_symbol_UNKNOWN_count,unique_bank_count,unique_transfer_account_count,unique_account_id_count,target_next_window_cashflow,target_next_window_cashflow_lag_1,target_next_window_cashflow_lag_2,target_next_window_cashflow_lag_3,target_next_window_cashflow_lag_4,target_next_window_cashflow_lag_5,target_next_window_cashflow_lag_6,target_next_window_cashflow_lag_7
1993,1,8,1993,1,11,1993,1,11,1993,1,14,79494.0,0.0,0.0,3777.0,750.0,5786.860996298095,1000.0,3613.3636363636365,750.0,5512.999672164092,200.0,17366.0,22,0,0,21,0,0,0,1,1,0,0,0,0,0,0,21,1,1,21,126137.0,85777.0,76939.0,79494.0,80827.0,35046.0,21164.0,13424.0
1993,1,9,1993,1,12,1993,1,12,1993,1,15,76939.0,0.0,0.0,5083.6875,900.0,6475.52226690378,800.0,4808.6875,900.0,6144.894246106546,200.0,17366.0,16,0,0,14,0,0,0,2,2,0,0,0,0,0,0,14,2,2,15,168442.0,126137.0,85777.0,76939.0,79494.0,80827.0,35046.0,21164.0
1993,1,10,1993,1,13,1993,1,13,1993,1,16,85777.0,0.0,0.0,5170.944444444444,3038.0,5660.284262994969,7446.0,4765.388888888889,2688.0,5296.889976968049,400.0,17477.0,18,0,0,14,0,0,0,4,4,0,0,0,0,0,0,14,4,4,15,159675.0,168442.0,126137.0,85777.0,76939.0,79494.0,80827.0,35046.0
1993,1,11,1993,1,14,1993,1,14,1993,1,17,126137.0,0.0,0.0,6801.85,5713.5,6000.379613210449,5209.0,6306.85,5363.5,5656.505730712111,400.0,17477.0,20,0,0,15,0,0,0,5,5,0,0,0,0,0,0,15,4,5,20,123464.0,159675.0,168442.0,126137.0,85777.0,76939.0,79494.0,80827.0
1993,1,12,1993,1,15,1993,1,15,1993,1,18,168442.0,0.0,0.0,7784.434782608696,5207.0,10061.499381422807,1000.0,7323.565217391304,4507.0,9793.587270278105,200.0,44749.0,23,0,0,17,0,0,0,6,5,0,0,0,0,0,0,18,5,6,22,85631.0,123464.0,159675.0,168442.0,126137.0,85777.0,76939.0,79494.0
1993,1,13,1993,1,16,1993,1,16,1993,1,19,159675.0,0.0,0.0,9722.058823529413,4870.0,14693.517007810742,500.0,9392.64705882353,4470.0,14500.044452264518,200.0,46552.0,17,0,0,13,0,0,0,4,3,0,0,0,0,0,0,14,4,4,16,49871.0,85631.0,123464.0,159675.0,168442.0,126137.0,85777.0,76939.0
1993,1,14,1993,1,17,1993,1,17,1993,1,20,123464.0,0.0,0.0,11469.454545454546,1000.0,17792.609833094393,13456.0,11224.0,1000.0,17592.402263477263,200.0,46552.0,11,0,0,9,0,0,0,2,1,0,0,0,0,0,0,10,2,2,11,38015.0,49871.0,85631.0,123464.0,159675.0,168442.0,126137.0,85777.0
1993,1,15,1993,1,18,1993,1,18,1993,1,21,85631.0,0.0,0.0,14455.166666666666,7278.0,18398.141802004535,1000.0,14271.833333333334,7128.0,18245.43783433729,500.0,46552.0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,13492.0,38015.0,49871.0,85631.0,123464.0,159675.0,168442.0,126137.0
1993,1,16,1993,1,19,1993,1,19,1993,1,22,49871.0,0.0,0.0,7381.571428571428,1100.0,9206.67648787449,11792.0,7124.428571428572,1100.0,8949.371967856046,200.0,23323.0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,6600.0,13492.0,38015.0,49871.0,85631.0,123464.0,159675.0,168442.0
1993,1,17,1993,1,20,1993,1,20,1993,1,23,38015.0,0.0,0.0,4390.555555555556,700.0,8186.297928720758,700.0,4223.888888888889,700.0,7928.496522740683,200.0,23323.0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,29593.0,6600.0,13492.0,38015.0,49871.0,85631.0,123464.0,159675.0
1993,1,18,1993,1,21,1993,1,21,1993,1,24,13492.0,0.0,0.0,1811.5,350.0,4038.1927711716357,700.0,1686.5,350.0,3685.163419520419,200.0,10792.0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,45033.0,29593.0,6600.0,13492.0,38015.0,49871.0,85631.0,123464.0
1993,1,19,1993,1,22,1993,1,22,1993,1,25,6600.0,0.0,0.0,660.0,700.0,337.3096170846271,1100.0,660.0,700.0,337.3096170846271,200.0,1100.0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,128803.0,45033.0,29593.0,6600.0,13492.0,38015.0,49871.0,85631.0
1993,1,20,1993,1,23,1993,1,23,1993,1,26,29593.0,0.0,0.0,2616.0833333333335,700.0,5072.590739514283,7968.0,2466.0833333333335,700.0,4717.863970799677,200.0,16125.0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,12,0,0,12,106610.0,128803.0,45033.0,29593.0,6600.0,13492.0,38015.0,49871.0
1993,1,21,1993,1,24,1993,1,24,1993,1,27,45033.0,0.0,0.0,3914.3571428571427,800.0,7090.825205390878,300.0,3216.6428571428573,800.0,5423.155278095001,200.0,16125.0,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,14,0,0,13,147566.0,106610.0,128803.0,45033.0,29593.0,6600.0,13492.0,38015.0
1993,1,22,1993,1,25,1993,1,25,1993,1,28,128803.0,0.0,0.0,11880.266666666666,700.0,22109.213853267687,53743.0,8586.866666666667,700.0,15182.30805372145,200.0,49752.0,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,15,0,0,12,63196.0,147566.0,106610.0,128803.0,45033.0,29593.0,6600.0,13492.0
1993,1,23,1993,1,26,1993,1,26,1993,1,29,106610.0,0.0,0.0,11862.384615384615,900.0,23756.777838259342,200.0,8200.76923076923,900.0,16195.383653754783,200.0,49752.0,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0,13,0,0,12,62196.0,63196.0,147566.0,106610.0,128803.0,45033.0,29593.0,6600.0
1993,1,24,1993,1,27,1993,1,27,1993,1,30,147566.0,0.0,0.0,17119.6875,950.0,29852.878044880363,200.0,9222.875,950.0,15240.336115606724,200.0,49752.0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,16,0,0,14,61183.0,62196.0,63196.0,147566.0,106610.0,128803.0,45033.0,29593.0
