account_id,date,type,operation,amount,balance,k_symbol,bank,account,closing_cash_balance,opening_cash_balance
1402,1998-12-28,EXPENSE,WITHDRAWAL,1080.0,23508.8,UNKNOWN,,,196702801.00065264,196703881.00065264
1427,1998-12-28,EXPENSE,WITHDRAWAL,5640.0,53393.6,UNKNOWN,,,196697161.00065264,196702801.00065264
1424,1998-12-28,EXPENSE,WITHDRAWAL,3520.0,21366.4,UNKNOWN,,,196693641.00065264,196697161.00065264
1422,1998-12-28,EXPENSE,WITHDRAWAL,1250.0,37986.1,UNKNOWN,,,196692391.00065264,196693641.00065264
3602,1998-12-28,INCOME,DEPOSIT,26457.0,77908.2,UNKNOWN,,,196718848.00065264,196692391.00065264
5072,1998-12-28,EXPENSE,WITHDRAWAL,16300.0,57575.1,UNKNOWN,,,196702548.00065264,196718848.00065264
875,1998-12-28,EXPENSE,WITHDRAWAL,2000.0,42842.7,UNKNOWN,,,196700548.00065264,196702548.00065264
967,1998-12-28,EXPENSE,CARD WITHDRAWAL,3600.0,23587.6,UNKNOWN,,0.0,196696948.00065264,196700548.00065264
643,1998-12-28,EXPENSE,WITHDRAWAL,1760.0,35817.5,UNKNOWN,,,196695188.00065264,196696948.00065264
9826,1998-12-28,INCOME,DEPOSIT,27719.0,50623.0,UNKNOWN,,,196722907.00065264,196695188.00065264
9826,1998-12-28,EXPENSE,WITHDRAWAL,5400.0,45223.0,UNKNOWN,,,196717507.00065264,196722907.00065264
3258,1998-12-28,WITHDRAWAL,WITHDRAWAL,7476.0,88475.5,UNKNOWN,,,196710031.00065264,196717507.00065264
3260,1998-12-28,INCOME,DEPOSIT,13252.0,61163.1,UNKNOWN,,,196723283.00065264,196710031.00065264
3456,1998-12-28,EXPENSE,WITHDRAWAL,700.0,51203.4,UNKNOWN,,,196722583.00065264,196723283.00065264
8268,1998-12-28,EXPENSE,WITHDRAWAL,4000.0,72314.5,UNKNOWN,,,196718583.00065264,196722583.00065264
333,1998-12-28,EXPENSE,WITHDRAWAL,540.0,20434.2,UNKNOWN,,,196718043.00065264,196718583.00065264
352,1998-12-28,EXPENSE,WITHDRAWAL,350.0,22469.1,UNKNOWN,,,196717693.00065264,196718043.00065264
350,1998-12-28,EXPENSE,WITHDRAWAL,1050.0,22065.0,UNKNOWN,,,196716643.00065264,196717693.00065264
355,1998-12-28,WITHDRAWAL,WITHDRAWAL,16041.0,21600.2,UNKNOWN,,,196700602.00065264,196716643.00065264
361,1998-12-28,EXPENSE,WITHDRAWAL,36300.0,37219.0,UNKNOWN,,,196664302.00065264,196700602.00065264
367,1998-12-28,EXPENSE,WITHDRAWAL,4440.0,49636.3,UNKNOWN,,,196659862.00065264,196664302.00065264
1867,1998-12-28,EXPENSE,CARD WITHDRAWAL,1200.0,87633.0,UNKNOWN,,0.0,196658662.00065264,196659862.00065264
2436,1998-12-28,EXPENSE,WITHDRAWAL,1440.0,77183.7,UNKNOWN,,,196657222.00065264,196658662.00065264
2505,1998-12-29,EXPENSE,WITHDRAWAL,650.0,27069.5,UNKNOWN,,,196656572.00065264,196657222.00065264
2740,1998-12-29,EXPENSE,WITHDRAWAL,1700.0,23573.3,UNKNOWN,,,196654872.00065264,196656572.00065264
2724,1998-12-29,EXPENSE,WITHDRAWAL,1800.0,60167.8,UNKNOWN,,,196653072.00065264,196654872.00065264
3558,1998-12-29,EXPENSE,WITHDRAWAL,5100.0,66286.9,UNKNOWN,,,196647972.00065264,196653072.00065264
3560,1998-12-29,EXPENSE,WITHDRAWAL,1350.0,15228.4,UNKNOWN,,,196646622.00065264,196647972.00065264
2235,1998-12-29,EXPENSE,WITHDRAWAL,4320.0,50406.6,UNKNOWN,,,196642302.00065264,196646622.00065264
8931,1998-12-29,WITHDRAWAL,WITHDRAWAL,14253.0,60880.8,UNKNOWN,,,196628049.00065264,196642302.00065264
3141,1998-12-29,EXPENSE,WITHDRAWAL,5100.0,101347.7,UNKNOWN,,,196622949.00065264,196628049.00065264
3130,1998-12-29,EXPENSE,WITHDRAWAL,700.0,92532.8,UNKNOWN,,,196622249.00065264,196622949.00065264
3135,1998-12-29,EXPENSE,WITHDRAWAL,3200.0,87570.6,UNKNOWN,,,196619049.00065264,196622249.00065264
3636,1998-12-29,EXPENSE,WITHDRAWAL,2400.0,63571.6,UNKNOWN,,,196616649.00065264,196619049.00065264
3647,1998-12-29,EXPENSE,WITHDRAWAL,5040.0,22033.9,UNKNOWN,,,196611609.00065264,196616649.00065264
157,1998-12-29,EXPENSE,WITHDRAWAL,720.0,33814.5,UNKNOWN,,,196610889.00065264,196611609.00065264
157,1998-12-29,EXPENSE,WITHDRAWAL,1050.0,34534.5,UNKNOWN,,,196609839.00065264,196610889.00065264
162,1998-12-29,EXPENSE,WITHDRAWAL,400.0,21536.3,UNKNOWN,,,196609439.00065264,196609839.00065264
174,1998-12-29,EXPENSE,WITHDRAWAL,450.0,20894.7,UNKNOWN,,,196608989.00065264,196609439.00065264
72,1998-12-29,WITHDRAWAL,WITHDRAWAL,18152.0,22117.2,UNKNOWN,,,196590837.00065264,196608989.00065264
82,1998-12-29,EXPENSE,WITHDRAWAL,8700.0,83641.0,UNKNOWN,,,196582137.00065264,196590837.00065264
71,1998-12-29,EXPENSE,CARD WITHDRAWAL,2400.0,69228.5,UNKNOWN,,0.0,196579737.00065264,196582137.00065264
83,1998-12-29,EXPENSE,WITHDRAWAL,1120.0,33109.8,UNKNOWN,,,196578617.00065264,196579737.00065264
126,1998-12-29,INCOME,DEPOSIT,7249.0,50158.2,UNKNOWN,,,196585866.00065264,196578617.00065264
141,1998-12-29,EXPENSE,WITHDRAWAL,4800.0,54667.8,UNKNOWN,,,196581066.00065264,196585866.00065264
3057,1998-12-29,EXPENSE,WITHDRAWAL,1600.0,40076.5,UNKNOWN,,,196579466.00065264,196581066.00065264
6158,1998-12-29,INCOME,DEPOSIT,24532.0,61104.1,UNKNOWN,,,196603998.00065264,196579466.00065264
4013,1998-12-29,EXPENSE,WITHDRAWAL,3900.0,58067.0,UNKNOWN,,,196600098.00065264,196603998.00065264
1139,1998-12-29,EXPENSE,WITHDRAWAL,1500.0,89037.9,UNKNOWN,,,196598598.00065264,196600098.00065264
2216,1998-12-29,WITHDRAWAL,WITHDRAWAL,15306.0,59683.4,UNKNOWN,,,196583292.00065264,196598598.00065264
2214,1998-12-29,EXPENSE,WITHDRAWAL,800.0,43775.5,UNKNOWN,,,196582492.00065264,196583292.00065264
2221,1998-12-29,EXPENSE,WITHDRAWAL,540.0,16060.4,UNKNOWN,,,196581952.00065264,196582492.00065264
803,1998-12-29,WITHDRAWAL,WITHDRAWAL,5184.0,12699.8,UNKNOWN,,,196576768.00065264,196581952.00065264
830,1998-12-29,EXPENSE,CARD WITHDRAWAL,1300.0,57385.4,UNKNOWN,,0.0,196575468.00065264,196576768.00065264
3683,1998-12-29,EXPENSE,WITHDRAWAL,4160.0,60092.7,UNKNOWN,,,196571308.00065264,196575468.00065264
3428,1998-12-29,EXPENSE,WITHDRAWAL,2400.0,40850.9,UNKNOWN,,,196568908.00065264,196571308.00065264
3623,1998-12-29,EXPENSE,WITHDRAWAL,450.0,14496.6,UNKNOWN,,,196568458.00065264,196568908.00065264
3617,1998-12-29,EXPENSE,WITHDRAWAL,4160.0,91619.2,UNKNOWN,,,196564298.00065264,196568458.00065264
4035,1998-12-29,EXPENSE,WITHDRAWAL,6600.0,77783.2,UNKNOWN,,,196557698.00065264,196564298.00065264
4069,1998-12-29,EXPENSE,WITHDRAWAL,2300.0,75432.0,UNKNOWN,,,196555398.00065264,196557698.00065264
4066,1998-12-29,EXPENSE,WITHDRAWAL,23600.0,44045.8,UNKNOWN,,,196531798.00065264,196555398.00065264
10670,1998-12-29,EXPENSE,WITHDRAWAL,5100.0,109445.9,UNKNOWN,,,196526698.00065264,196531798.00065264
483,1998-12-29,EXPENSE,WITHDRAWAL,750.0,12851.3,UNKNOWN,,,196525948.00065264,196526698.00065264
485,1998-12-29,INCOME,DEPOSIT,19526.0,78806.1,UNKNOWN,,,196545474.00065264,196525948.00065264
584,1998-12-29,EXPENSE,WITHDRAWAL,210.0,15007.1,UNKNOWN,,,196545264.00065264,196545474.00065264
598,1998-12-29,EXPENSE,CARD WITHDRAWAL,3800.0,60126.6,UNKNOWN,,0.0,196541464.00065264,196545264.00065264
1159,1998-12-29,EXPENSE,WITHDRAWAL,4640.0,32256.4,UNKNOWN,,,196536824.00065264,196541464.00065264
1161,1998-12-29,EXPENSE,WITHDRAWAL,3680.0,41655.6,UNKNOWN,,,196533144.00065264,196536824.00065264
441,1998-12-29,EXPENSE,CARD WITHDRAWAL,2700.0,107089.3,UNKNOWN,,0.0,196530444.00065264,196533144.00065264
464,1998-12-29,EXPENSE,WITHDRAWAL,2080.0,16706.6,UNKNOWN,,,196528364.00065264,196530444.00065264
2049,1998-12-29,EXPENSE,WITHDRAWAL,4480.0,21901.5,UNKNOWN,,,196523884.00065264,196528364.00065264
10942,1998-12-29,EXPENSE,WITHDRAWAL,7200.0,41319.1,UNKNOWN,,,196516684.00065264,196523884.00065264
1837,1998-12-29,EXPENSE,WITHDRAWAL,1760.0,77694.4,UNKNOWN,,,196514924.00065264,196516684.00065264
6910,1998-12-29,EXPENSE,CARD WITHDRAWAL,1800.0,68737.2,UNKNOWN,,0.0,196513124.00065264,196514924.00065264
1340,1998-12-29,EXPENSE,WITHDRAWAL,810.0,23422.9,UNKNOWN,,,196512314.00065264,196513124.00065264
1813,1998-12-29,WITHDRAWAL,WITHDRAWAL,23323.0,90603.0,UNKNOWN,,,196488991.00065264,196512314.00065264
1817,1998-12-29,EXPENSE,WITHDRAWAL,4600.0,60664.9,UNKNOWN,,,196484391.00065264,196488991.00065264
2947,1998-12-29,EXPENSE,WITHDRAWAL,750.0,27891.3,UNKNOWN,,,196483641.00065264,196484391.00065264
2944,1998-12-29,EXPENSE,WITHDRAWAL,2400.0,46255.3,UNKNOWN,,,196481241.00065264,196483641.00065264
2935,1998-12-29,EXPENSE,WITHDRAWAL,660.0,19463.6,UNKNOWN,,,196480581.00065264,196481241.00065264
3309,1998-12-29,EXPENSE,WITHDRAWAL,700.0,31243.2,UNKNOWN,,,196479881.00065264,196480581.00065264
3943,1998-12-29,EXPENSE,WITHDRAWAL,240.0,18354.2,UNKNOWN,,,196479641.00065264,196479881.00065264
2809,1998-12-29,EXPENSE,WITHDRAWAL,3300.0,26581.0,UNKNOWN,,,196476341.00065264,196479641.00065264
2810,1998-12-29,EXPENSE,WITHDRAWAL,2200.0,31705.7,UNKNOWN,,,196474141.00065264,196476341.00065264
2814,1998-12-29,EXPENSE,WITHDRAWAL,1250.0,28992.0,UNKNOWN,,,196472891.00065264,196474141.00065264
10973,1998-12-29,INCOME,DEPOSIT,31279.0,57500.8,UNKNOWN,,,196504170.00065264,196472891.00065264
11053,1998-12-29,EXPENSE,WITHDRAWAL,8700.0,48207.3,UNKNOWN,,,196495470.00065264,196504170.00065264
11111,1998-12-29,INCOME,DEPOSIT,29655.0,108888.0,UNKNOWN,,,196525125.00065264,196495470.00065264
3337,1998-12-29,INCOME,DEPOSIT,39365.0,104025.7,UNKNOWN,,,196564490.00065264,196525125.00065264
9491,1998-12-29,EXPENSE,WITHDRAWAL,6900.0,50230.9,UNKNOWN,,,196557590.00065264,196564490.00065264
420,1998-12-29,EXPENSE,WITHDRAWAL,2300.0,78370.7,UNKNOWN,,,196555290.00065264,196557590.00065264
429,1998-12-29,EXPENSE,WITHDRAWAL,2500.0,66096.1,UNKNOWN,,,196552790.00065264,196555290.00065264
390,1998-12-29,INCOME,DEPOSIT,24794.0,109278.2,UNKNOWN,,,196577584.00065264,196552790.00065264
387,1998-12-29,EXPENSE,WITHDRAWAL,8700.0,42911.3,UNKNOWN,,,196568884.00065264,196577584.00065264
407,1998-12-29,EXPENSE,WITHDRAWAL,1500.0,47191.2,UNKNOWN,,,196567384.00065264,196568884.00065264
3242,1998-12-29,EXPENSE,WITHDRAWAL,3200.0,22273.7,UNKNOWN,,,196564184.00065264,196567384.00065264
1965,1998-12-29,INCOME,DEPOSIT,13789.0,51635.7,UNKNOWN,,,196577973.00065264,196564184.00065264
2183,1998-12-29,EXPENSE,WITHDRAWAL,3680.0,44494.6,UNKNOWN,,,196574293.00065264,196577973.00065264
2542,1998-12-29,EXPENSE,WITHDRAWAL,3840.0,15980.9,UNKNOWN,,,196570453.00065264,196574293.00065264
9645,1998-12-29,EXPENSE,WITHDRAWAL,3300.0,26397.5,UNKNOWN,,,196567153.00065264,196570453.00065264
1743,1998-12-29,EXPENSE,WITHDRAWAL,2480.0,49005.0,UNKNOWN,,,196564673.00065264,196567153.00065264
1757,1998-12-29,EXPENSE,WITHDRAWAL,9900.0,44588.0,UNKNOWN,,,196554773.00065264,196564673.00065264
4321,1998-12-29,INCOME,DEPOSIT,18460.0,113011.4,UNKNOWN,,,196573233.00065264,196554773.00065264
5593,1998-12-29,EXPENSE,WITHDRAWAL,4800.0,62406.3,UNKNOWN,,,196568433.00065264,196573233.00065264
