ts_ms,open,high,low,close,volume
1701129600000,91.233,91.661,91.084,91.563,2322
1701216000000,91.617,91.744,91.173,91.211,2388
1701302400000,91.208,91.462,90.511,90.645,2202
1701388800000,90.683,90.882,90.151,90.488,2561
1701475200000,89.747,89.747,89.747,89.747,1
1701561600000,89.747,89.747,89.747,89.747,1
1701648000000,90.547,90.733,89.758,90.322,1897
1701734400000,90.31,90.365,89.709,89.86,2514
1701820800000,89.881,89.953,89.54,89.549,2048
1701907200000,89.555,90.071,89.546,89.875,2355
1701993600000,89.88,89.954,89.426,89.711,2432
1702080000000,88.9095,89.738,88.9095,88.9095,3
1702166400000,89.738,89.738,88.9095,88.9095,3
1702252800000,89.718,89.792,88.9095,89.63,1619
1702339200000,89.641,90.17,89.625,89.964,2040
1702425600000,89.959,90.585,89.776,90.564,2379
1702512000000,90.57,91.609,90.53,91.488,3005
1702598400000,91.472,91.587,90.342,90.385,2619
1702684800000,91.51,91.51,90.0414,90.0414,3
1702771200000,90.0414,90.0414,90.0414,90.0414,1
1702857600000,90.484,90.789,90.0524,90.671,1653
1702944000000,90.712,91.218,90.643,91.142,2149
1703030400000,91.133,91.197,90.854,90.959,2082
1703116800000,90.947,91.557,90.924,91.317,2119
1703203200000,91.324,91.686,91.324,91.543,2028
1703376000000,91.506,91.506,90.6702,90.6702,2
1703462400000,91.515,91.515,90.6702,90.6702,7
1703548800000,91.515,91.515,90.6702,90.6702,5
1703635200000,91.515,92.524,90.6702,92.416,1466
1703721600000,92.421,92.578,91.875,91.897,2107
1703808000000,91.954,92.123,91.77,91.77,2086
1703980800000,91.79,91.79,91.79,91.79,1
1704067200000,91.142,91.142,91.142,91.142,2
1704153600000,91.848,91.915,90.982,91.062,1935
1704240000000,91.055,91.31,90.66,90.895,2427
1704326400000,90.974,91.239,90.855,91.047,2168
1704412800000,91.042,91.298,90.455,90.888,2504
1704585600000,89.7557,89.7557,89.7557,89.7557,1
1704672000000,90.8,91.09,89.7557,90.859,1718
1704758400000,90.853,91.003,90.612,90.803,2118
1704844800000,90.844,91.041,90.668,91.027,1947
1704931200000,91.033,91.211,90.732,91.159,2321
1705017600000,91.152,91.194,90.613,90.663,2298
1705190400000,90.663,90.663,90.663,90.663,1
1705276800000,89.7851,90.785,89.7851,90.648,1263
1705363200000,90.626,90.659,90.189,90.313,2476
1705449600000,90.409,90.694,90.133,90.349,2534
1705536000000,90.354,90.597,90.143,90.405,2359
1705622400000,90.388,90.536,90.252,90.536,1839
1705795200000,90.505,90.505,89.4372,89.4372,2
1705881600000,90.572,90.76,89.4382,90.306,1382
1705968000000,90.307,90.619,89.89,90.283,1958
1706054400000,90.277,90.739,90.166,90.367,2032
1706140800000,90.341,90.537,89.874,90.04,2052
1706227200000,90.091,90.386,89.825,90.121,1783
1706400000000,90.124,90.124,90.124,90.124,1
1706486400000,89.306,90.26,89.306,90.065,1265
1706572800000,90.032,90.141,89.795,90.049,1863
1706659200000,90.057,90.313,89.597,89.641,2533
1706745600000,89.624,90.149,89.6,90.083,601
1706832000000,90.09,90.273,89.403,89.441,2039
1707004800000,89.464,89.464,89.2182,89.2182,2
1707091200000,89.426,89.482,89.007,89.121,1380
1707177600000,89.105,89.292,88.987,89.261,1722
1707264000000,89.218,89.401,89.174,89.316,1776
1707350400000,89.407,89.458,89.079,89.289,1649
1707436800000,89.296,89.534,89.26,89.444,1725
1707609600000,89.444,89.444,89.444,89.444,1
1707696000000,88.4184,89.771,88.4184,89.358,1251
1707782400000,89.31,89.517,88.814,88.862,1749
1707868800000,88.799,89.042,88.731,88.987,1720
1707955200000,88.993,89.442,88.93,89.347,1587
1708041600000,89.352,89.471,89.026,89.355,1537
1708214400000,89.378,89.378,89.378,89.378,1
1708300800000,88.4613,89.477,88.4613,89.402,783
1708387200000,89.405,89.79,89.255,89.474,1395
1708473600000,89.467,89.721,89.421,89.669,1425
1708560000000,89.69,90.15,89.464,89.611,1798
1708646400000,89.618,89.793,89.542,89.618,1475
1708819200000,89.611,89.611,89.611,89.611,1
1708905600000,88.9923,89.92,88.9923,89.813,1024
1708992000000,89.815,90.062,89.685,89.817,1339
1709078400000,89.823,89.855,89.481,89.775,1439
1709164800000,89.784,89.919,89.417,89.532,1925
1709251200000,89.538,89.765,89.422,89.722,1570
1709424000000,89.709,89.709,89.709,89.709,1
1709510400000,88.68,90.003,88.68,89.931,1138
1709596800000,89.907,90.038,89.448,89.927,1287
1709683200000,88.9423,90.317,88.9423,90.201,1149
1709769600000,90.247,91.051,89.816,90.604,1767
1709856000000,90.586,90.694,90.272,90.449,1736
1710115200000,89.404,90.512,89.404,90.398,959
1710201600000,90.41,91.054,90.192,90.38,1457
1710288000000,90.363,90.756,90.358,90.643,1309
1710374400000,90.665,90.673,90.146,90.146,1487
1710460800000,90.158,90.261,90.069,90.179,1223
1710720000000,90.2,90.333,89.301,89.982,871
1710806400000,90.027,90.179,89.898,90.093,1350
1710892800000,90.033,90.826,90.026,90.818,1647
1710979200000,90.701,90.856,90.233,90.346,1648
1711065600000,90.35,90.494,90.005,90.281,1588
1711238400000,90.253,90.253,90.253,90.253,1
