ts_ms,open,high,low,close,volume
1701302400000,147.059,148.521,146.863,148,215858
1701388800000,147.994,148.347,146.658,146.81,214885
1701475200000,146.82,146.82,146.82,146.82,1
1701561600000,146.711,146.778,146.227,146.36,5395
1701648000000,146.356,147.49,146.22,147.306,216735
1701734400000,147.305,147.387,146.556,147.185,211907
1701820800000,147.186,147.498,146.89,147.184,193584
1701907200000,147.183,147.189,141.616,144.233,265547
1701993600000,144.242,145.217,142.496,144.859,252156
1702166400000,144.607,145.063,144.607,144.984,3664
1702252800000,144.983,146.586,144.866,146.048,208716
1702339200000,146.049,146.126,144.716,145.292,208051
1702425600000,145.3,145.993,142.071,142.791,237548
1702512000000,142.784,142.909,140.955,142.275,292509
1702598400000,142.271,142.467,141.42,142.12,240346
1702684800000,142.11,142.11,142.11,142.11,1
1702771200000,141.946,142.366,141.85,142.313,2688
1702857600000,142.304,143.158,142.068,142.687,200766
1702944000000,142.679,144.954,142.24,143.916,227448
1703030400000,143.924,144.097,143.259,143.527,219664
1703116800000,143.526,143.563,142.008,142.072,218210
1703203200000,142.07,142.664,141.862,142.39,197953
1703376000000,142.351,142.351,142.301,142.342,4
1703462400000,142.379,142.515,142.113,142.244,14782
1703548800000,142.24,142.633,142.087,142.485,128239
1703635200000,142.488,142.846,141.378,141.442,180240
1703721600000,141.441,141.657,140.248,141.44,200565
1703808000000,141.441,141.913,140.79,141.026,181393
1703980800000,140.952,140.952,140.952,140.952,1
1704067200000,141.02,141.4,140.607,141.114,18904
1704153600000,141.12,142.213,141.095,142.176,208343
1704240000000,142.171,143.727,141.856,142.999,215640
1704326400000,142.994,144.85,142.84,144.774,209903
1704412800000,144.774,145.978,143.8,144.616,218694
1704585600000,144.56,144.913,144.483,144.716,2117
1704672000000,144.716,144.793,143.66,144.217,210325
1704758400000,144.225,144.622,143.418,144.429,217417
1704844800000,144.428,145.85,144.41,145.728,197964
1704931200000,145.723,146.408,144.936,145.102,179555
1705017600000,145.099,145.568,144.351,144.81,210028
1705190400000,144.814,145.168,144.814,145.148,1944
1705276800000,145.145,145.95,144.929,145.788,154344
1705363200000,145.794,147.309,145.57,147.247,226971
1705449600000,147.235,148.524,147.097,148.137,225859
1705536000000,148.134,148.302,147.653,148.119,219245
1705622400000,148.119,148.81,147.835,148.09,202914
1705795200000,148.257,148.257,148.075,148.121,2458
1705881600000,148.123,148.304,147.616,148.143,200010
1705968000000,148.15,148.7,146.979,148.245,210993
1706054400000,148.236,148.262,146.648,147.583,219349
1706140800000,147.591,147.94,147.08,147.722,207030
1706227200000,147.721,148.208,147.4,148.156,187261
1706400000000,148.096,148.183,148.014,148.177,2593
1706486400000,148.173,148.332,147.25,147.487,179974
1706572800000,147.486,147.927,147.095,147.335,190622
1706659200000,147.333,147.896,145.985,147.005,249696
1706745600000,147.005,147.081,145.894,146.457,79677
1706832000000,146.456,148.584,146.24,148.371,206102
1707004800000,148.36,148.668,148.314,148.505,3174
1707091200000,148.501,148.894,148.26,148.66,200419
1707177600000,148.663,148.83,147.739,147.816,206353
1707264000000,147.815,148.26,147.627,148.088,206325
1707350400000,148.089,149.49,147.93,149.264,213652
1707436800000,149.262,149.59,149.003,149.274,187576
1707609600000,149.202,149.279,149.074,149.175,2848
1707696000000,149.176,149.48,148.923,149.407,177767
1707782400000,149.4,150.885,149.208,150.72,202445
1707868800000,150.724,150.777,150.342,150.559,202259
1707955200000,150.554,150.556,149.508,149.958,205017
1708041600000,149.959,150.644,149.922,150.196,192156
1708214400000,150.105,150.139,150.032,150.139,2172
1708300800000,150.138,150.302,149.862,150.27,131237
1708387200000,150.269,150.437,149.681,149.965,184986
1708473600000,149.963,150.389,149.849,150.344,193905
1708560000000,150.342,150.689,150.012,150.47,209628
1708646400000,150.472,150.78,150.294,150.51,175534
1708819200000,150.414,150.561,150.32,150.497,2738
1708905600000,150.49,150.838,150.288,150.57,186125
1708992000000,150.572,150.606,150.072,150.514,175466
1709078400000,150.515,150.843,150.37,150.66,190382
1709164800000,150.654,150.654,149.205,150.066,224516
1709251200000,150.07,150.72,150.047,150.12,200854
1709424000000,149.948,150.15,149.948,150.127,2012
1709510400000,150.114,150.569,149.833,150.45,168046
1709596800000,150.453,150.545,149.7,150.051,182622
1709683200000,150.049,150.084,149.09,149.261,194933
1709769600000,149.259,149.265,147.577,147.864,223817
1709856000000,147.857,148.115,146.479,147.05,214302
1710028800000,146.993,147.126,146.704,146.794,4376
1710115200000,146.795,147.146,146.483,146.732,180653
1710201600000,146.731,148.171,146.61,147.62,191868
1710288000000,147.619,148.043,147.228,147.589,179336
1710374400000,147.587,148.354,147.423,148.301,184782
1710460800000,148.3,149.163,148.025,149.041,172834
1710633600000,149.049,149.086,148.932,148.954,3895
1710720000000,148.951,149.327,148.905,149.154,151862
1710806400000,149.144,151.068,148.99,151.021,185228
1710892800000,151.018,151.85,150.67,150.736,193598
1710979200000,150.739,151.78,150.258,151.634,196476
1711065600000,151.63,151.861,151.003,151.413,172373
1711238400000,151.383,151.432,151.08,151.31,3691
1711324800000,151.308,151.541,151.048,151.378,146314
1711411200000,151.377,151.6,151.204,151.522,147518
1711497600000,151.523,151.969,151.02,151.292,170318
1711584000000,151.293,151.543,151.14,151.439,150938
1711670400000,151.436,151.493,151.166,151.34,67480
1711843200000,151.291,151.426,151.216,151.4,3916
1711929600000,151.396,151.77,151.247,151.588,125419
1712016000000,151.595,151.798,151.458,151.543,136491
1712102400000,151.542,151.954,151.43,151.58,140150
1712188800000,151.577,151.769,151.116,151.295,148923
1712275200000,151.296,151.749,150.808,151.6,156355
1712448000000,151.595,151.72,151.594,151.677,3547
1712534400000,151.677,151.942,151.63,151.831,131149
1712620800000,151.835,151.933,151.567,151.777,128345
1712707200000,151.777,153.232,151.679,152.949,150292
1712793600000,152.953,153.32,152.757,153.191,173668
1712880000000,153.192,153.385,152.587,153.27,166430
1713052800000,153.188,153.32,153.108,153.302,4318
1713139200000,153.301,154.443,153.275,154.227,180586
1713225600000,154.217,154.781,153.896,154.699,178620
1713312000000,154.698,154.76,154.15,154.338,159383
1713398400000,154.338,154.71,153.941,154.608,157573
1713484800000,154.61,154.671,153.585,154.62,185827
