Entry_Date,Entry_Price,Exit_Date,Exit_Price,Type,USD_Amount,Profit,Profit_Pct,Holding_Days,Capital_Before,Capital_After
2020-12-22,74.20230102539062,2020-12-30,73.66480255126953,LONG (Signal),1347.6671022072737,-724.3690110596071,-0.724369011059607,8,100000.0,99275.6309889404
2020-12-30,73.66480255126953,2021-01-13,73.41400146484375,SHORT (Signal),1347.6671022072737,337.9963733738686,0.3404625787888696,14,99275.6309889404,99613.62736231426
2021-01-13,73.41400146484375,2021-01-18,73.41999816894531,LONG (Signal),1356.8750561841655,8.13677821472811,0.008168338439411562,5,99613.62736231428,99621.764140529
2021-01-18,73.41999816894531,2021-02-26,74.17870330810547,SHORT (Signal),1356.8750561841655,-1029.4680783251522,-1.0333766794903954,39,99621.764140529,98592.29606220385
2021-02-26,74.17870330810547,2021-03-12,72.87329864501953,LONG (Signal),1329.1186238817781,-1735.0376494096417,-1.7598105721312867,14,98592.29606220385,96857.25841279421
2021-03-12,72.87329864501953,2021-03-30,73.65229797363281,SHORT (Signal),1329.1186238817781,-1035.3825156513135,-1.068977723113569,18,96857.25841279421,95821.87589714289
2021-03-30,73.65229797363281,2021-04-28,74.94599914550781,LONG (Signal),1301.0032074144744,1683.1093740452343,1.756498042108795,29,95821.87589714289,97504.98527118812
2021-04-28,74.94599914550781,2021-06-08,72.97869873046875,SHORT (Signal),1301.0032074144744,2559.464149913647,2.624957219156615,41,97504.98527118812,100064.44942110177
2021-06-08,72.97869873046875,2021-06-09,73.01349639892578,LONG (Signal),1371.1459804273636,47.71268323309778,0.04768195249074747,1,100064.44942110177,100112.16210433487
2021-06-09,73.01349639892578,2021-06-11,73.31839752197266,SHORT (Signal),1371.1459804273636,-418.06394929351166,-0.4175955653198398,2,100112.16210433487,99694.09815504136
2021-06-11,73.31839752197266,2021-07-26,74.7020034790039,LONG (Signal),1359.7419136876827,1881.3470118033438,1.8871197459227003,45,99694.09815504136,101575.4451668447
2021-07-26,74.7020034790039,2021-08-13,74.31529998779297,SHORT (Signal),1359.7419136876827,525.8169451688681,0.5176614725194434,18,101575.4451668447,102101.26211201357
2021-08-13,74.31529998779297,2021-08-16,74.28579711914062,LONG (Signal),1373.8928878546508,-40.53378141275607,-0.03969958899067001,3,102101.26211201357,102060.72833060082
2021-08-16,74.28579711914062,2021-08-20,74.47560119628906,SHORT (Signal),1373.8928878546508,-260.77047168005373,-0.25550520356405004,4,102060.72833060082,101799.95785892077
2021-08-20,74.47560119628906,2021-08-25,74.30180358886719,LONG (Signal),1366.8900448432125,-237.56221940252,-0.23336180524921735,5,101799.95785892077,101562.39563951825
2021-08-25,74.30180358886719,2021-09-13,73.77680206298828,SHORT (Signal),1366.8900448432125,717.6193592513732,0.7065797874623443,19,101562.39563951825,102280.01499876962
2021-09-13,73.77680206298828,2021-10-22,75.09980010986328,LONG (Signal),1386.3438389677856,1834.1301912515628,1.7932439599990542,39,102280.01499876962,104114.14519002118
2021-10-22,75.09980010986328,2021-11-22,74.7343978881836,SHORT (Signal),1386.3438389677856,506.5731187707758,0.4865555183171482,31,104114.14519002118,104620.71830879195
2021-11-22,74.7343978881836,2021-12-24,75.19200134277344,LONG (Signal),1399.900464379519,640.5992885820015,0.6123063375375122,32,104620.71830879195,105261.31759737396
2021-12-24,75.19200134277344,2022-01-20,74.65249633789062,SHORT (Signal),1399.900464379519,755.2533068705239,0.7175031855095892,27,105261.31759737396,106016.57090424448
2022-01-20,74.65249633789062,2022-02-07,74.78489685058594,LONG (Signal),1420.1343036727721,188.02650990246912,0.17735577400659097,18,106016.57090424448,106204.59741414695
2022-02-07,74.78489685058594,2022-02-11,75.53929901123047,SHORT (Signal),1420.1343036727721,-1071.3523870961562,-1.0087627213710875,4,106204.59741414695,105133.2450270508
2022-02-11,75.53929901123047,2022-02-22,74.99240112304688,LONG (Signal),1391.768872668789,-761.1554573022149,-0.7239912142979792,11,105133.2450270508,104372.08956974858
2022-02-22,74.99240112304688,2022-02-28,75.78600311279297,SHORT (Signal),1391.768872668789,-1104.5105466166287,-1.0582432057935556,6,104372.08956974858,103267.57902313196
2022-02-28,75.78600311279297,2022-03-21,76.27729797363281,LONG (Signal),1362.6207318182214,669.4485628161201,0.6482659602837824,21,103267.57902313196,103937.02758594808
2022-03-21,76.27729797363281,2022-04-14,76.32949829101562,SHORT (Signal),1362.6207318182214,-71.12923467331139,-0.06843493250227199,24,103937.02758594808,103865.89835127477
