ts_ms,open,high,low,close,volume
1701302400000,1.0973,1.0984,1.08775,1.08916,173646
1701388800000,1.08917,1.0914,1.08285,1.0891,171854
1701561600000,1.08693,1.08946,1.08648,1.08855,3546
1701648000000,1.08854,1.08863,1.0803,1.08374,169079
1701734400000,1.08373,1.08473,1.0777,1.07933,173418
1701820800000,1.0794,1.0805,1.0757,1.07663,163748
1701907200000,1.07664,1.08176,1.07549,1.07892,189355
1701993600000,1.07899,1.08006,1.07232,1.0772,192427
1702166400000,1.07488,1.07673,1.07488,1.07647,1472
1702252800000,1.0765,1.0779,1.0741,1.0765,156558
1702339200000,1.07654,1.08282,1.0759,1.0798,166789
1702425600000,1.07982,1.08966,1.0771,1.08827,181281
1702512000000,1.0883,1.10091,1.0878,1.09933,229041
1702598400000,1.09932,1.1005,1.0876,1.0907,198509
1702771200000,1.08898,1.09007,1.08898,1.08946,1662
1702857600000,1.08947,1.0931,1.0893,1.09227,163770
1702944000000,1.09233,1.09874,1.0913,1.09791,172771
1703030400000,1.09793,1.09795,1.0928,1.0944,169980
1703116800000,1.09432,1.1013,1.0934,1.10056,187282
1703203200000,1.10062,1.10402,1.09938,1.1026,172651
1703376000000,1.10118,1.10118,1.10118,1.10118,1
1703462400000,1.1016,1.1086,1.09885,1.10183,14430
1703548800000,1.10186,1.10452,1.1007,1.1042,112663
1703635200000,1.10421,1.1123,1.1027,1.1107,151882
1703721600000,1.1108,1.11395,1.1054,1.10674,167712
1703808000000,1.10675,1.1085,1.1023,1.1036,161345
1703980800000,1.10353,1.10353,1.10353,1.10353,1
1704067200000,1.1038,1.1077,1.091,1.1037,8793
1704153600000,1.10366,1.10434,1.09343,1.094,170574
1704240000000,1.09415,1.0966,1.08929,1.0926,173032
1704326400000,1.09261,1.0973,1.0914,1.0946,165042
1704412800000,1.0946,1.09985,1.08758,1.0938,176598
1704585600000,1.09359,1.09464,1.09346,1.09411,1650
1704672000000,1.09413,1.0979,1.09226,1.0949,154452
1704758400000,1.09494,1.0967,1.091,1.09313,173194
1704844800000,1.09319,1.0975,1.0921,1.0974,161927
1704931200000,1.09742,1.09904,1.0929,1.09824,146925
1705017600000,1.09824,1.09869,1.0934,1.0941,171031
1705190400000,1.09463,1.09509,1.09431,1.09448,1673
1705276800000,1.09449,1.0968,1.0932,1.09446,122190
1705363200000,1.09448,1.09462,1.0861,1.08783,187911
1705449600000,1.08785,1.0886,1.0844,1.0886,180966
1705536000000,1.08859,1.0907,1.0846,1.088,184337
1705622400000,1.08796,1.0899,1.0864,1.08944,159159
1705795200000,1.08903,1.08974,1.08866,1.08915,2226
1705881600000,1.08912,1.091,1.0875,1.0877,150023
1705968000000,1.08774,1.0916,1.08208,1.08572,161454
1706054400000,1.08573,1.09322,1.085,1.08811,173551
