ts_ms,open,high,low,close,volume
1701302400000,1.26945,1.27105,1.2601,1.26299,203162
1701388800000,1.263,1.27163,1.2613,1.2698,194714
1701561600000,1.26705,1.27239,1.26705,1.27102,3353
1701648000000,1.27106,1.27118,1.2602,1.26327,197103
1701734400000,1.2633,1.2652,1.2575,1.25931,200854
1701820800000,1.25932,1.2614,1.255,1.2556,186909
1701907200000,1.25566,1.26126,1.2543,1.2587,207063
1701993600000,1.25858,1.26011,1.2502,1.2547,216254
1702166400000,1.2519,1.25538,1.2519,1.25534,1841
1702252800000,1.25543,1.25907,1.2533,1.25526,174857
1702339200000,1.25525,1.26156,1.2513,1.25678,191158
1702425600000,1.2569,1.2635,1.2499,1.26203,198640
1702512000000,1.26203,1.2794,1.261,1.27704,251430
1702598400000,1.27692,1.27904,1.2667,1.2688,217205
1702771200000,1.26599,1.26885,1.26599,1.26707,1622
1702857600000,1.26707,1.2704,1.262,1.2653,195821
1702944000000,1.26513,1.2762,1.2648,1.27291,192520
1703030400000,1.2729,1.273,1.26127,1.26392,195049
1703116800000,1.26392,1.2696,1.2611,1.26818,206145
1703203200000,1.26818,1.27444,1.2677,1.2698,199311
1703376000000,1.2688,1.269,1.2674,1.269,4
1703462400000,1.26903,1.2736,1.26103,1.2704,12014
1703548800000,1.27036,1.273,1.2683,1.27263,158507
1703635200000,1.27258,1.2803,1.2697,1.27996,173159
1703721600000,1.28,1.28276,1.2711,1.27337,175788
1703808000000,1.27335,1.2773,1.2698,1.2731,179423
1703980800000,1.2728,1.2728,1.2728,1.2728,1
1704067200000,1.2731,1.2756,1.2672,1.2726,8023
1704153600000,1.27268,1.276,1.261,1.26217,205683
1704240000000,1.26218,1.26766,1.2615,1.2672,208728
1704326400000,1.26717,1.27297,1.2655,1.268,196249
1704412800000,1.26799,1.27709,1.26099,1.2717,207502
1704585600000,1.2705,1.27193,1.2705,1.27168,1566
1704672000000,1.27169,1.2767,1.2672,1.27404,178634
1704758400000,1.27405,1.2765,1.2689,1.2711,189652
1704844800000,1.27106,1.2745,1.2685,1.27435,170623
1704931200000,1.27438,1.2779,1.2689,1.27783,163959
1705017600000,1.27778,1.2786,1.2719,1.27506,201846
1705190400000,1.27422,1.27506,1.27346,1.27351,2054
1705276800000,1.27351,1.27651,1.2712,1.27149,153629
1705363200000,1.27142,1.2717,1.2618,1.2635,209411
1705449600000,1.26351,1.2696,1.2595,1.26756,213806
1705536000000,1.26764,1.27115,1.26469,1.27104,208504
1705622400000,1.27107,1.2715,1.266,1.27026,182457
1705795200000,1.26784,1.27085,1.26784,1.2699,1760
1705881600000,1.2699,1.2733,1.2686,1.27055,173224
1705968000000,1.27057,1.2747,1.2648,1.26897,180437
1706054400000,1.26898,1.27747,1.26836,1.27172,187101
1706140800000,1.27166,1.2744,1.268,1.27056,198404
1706227200000,1.27047,1.27585,1.2674,1.2704,166717
1706400000000,1.26992,1.27,1.269,1.2696,2045
1706486400000,1.2696,1.2719,1.2661,1.2713,161169
1706572800000,1.27108,1.2721,1.26394,1.26921,174413
1706659200000,1.2692,1.27508,1.2657,1.26774,203204
1706745600000,1.26774,1.2756,1.26728,1.27457,70505
1706832000000,1.2744,1.27723,1.2612,1.2631,183859
1707004800000,1.26319,1.26345,1.26106,1.2621,2234
1707091200000,1.26206,1.26295,1.25158,1.25321,173600
1707177600000,1.2533,1.26052,1.25319,1.26015,179828
1707264000000,1.26016,1.2642,1.25941,1.2626,174775
1707350400000,1.26259,1.2639,1.257,1.26194,180171
1707436800000,1.26202,1.2643,1.2598,1.2628,160239
1707609600000,1.26225,1.26367,1.26225,1.26363,2053
1707696000000,1.26362,1.26547,1.2605,1.26262,150220
1707782400000,1.26253,1.2684,1.2572,1.25879,176585
1707868800000,1.25896,1.2611,1.2534,1.2568,186425
1707955200000,1.25654,1.2611,1.25395,1.25978,173444
1708041600000,1.25969,1.26241,1.2549,1.2601,173790
1708214400000,1.2602,1.26106,1.25966,1.26102,1998
1708300800000,1.26101,1.263,1.2581,1.25869,130513
1708387200000,1.25863,1.26685,1.25771,1.26245,161811
1708473600000,1.26244,1.2642,1.2601,1.26374,180719
1708560000000,1.2638,1.27091,1.261,1.26603,176869
1708646400000,1.26602,1.27015,1.26466,1.2672,167390
1708819200000,1.267,1.26765,1.26665,1.26698,1823
1708905600000,1.26694,1.27,1.2655,1.26833,152760
1708992000000,1.26821,1.2697,1.2658,1.26789,174996
1709078400000,1.26788,1.2684,1.2621,1.26596,161530
1709164800000,1.2661,1.2682,1.2611,1.26257,188378
1709251200000,1.26263,1.2664,1.2598,1.2653,170572
1709424000000,1.2645,1.26618,1.2645,1.26599,2244
1709510400000,1.26599,1.27064,1.2654,1.26893,145318
1709596800000,1.26895,1.27344,1.267,1.27038,162225
1709683200000,1.2703,1.27612,1.2688,1.27354,173458
1709769600000,1.27341,1.2813,1.2722,1.28124,180806
1709856000000,1.28129,1.28937,1.2799,1.2858,178662
1710028800000,1.2856,1.28561,1.28473,1.28551,3136
1710115200000,1.28551,1.28617,1.2793,1.28179,164198
1710201600000,1.2817,1.28232,1.2745,1.27947,170926
1710288000000,1.2793,1.28113,1.2773,1.28009,156936
1710374400000,1.2801,1.2823,1.27298,1.27449,170508
1710460800000,1.27449,1.2759,1.2717,1.273,148668
1710633600000,1.27338,1.27374,1.27288,1.27303,2744
1710720000000,1.27305,1.27468,1.2717,1.27259,130760
1710806400000,1.27257,1.2733,1.2667,1.27172,157953
1710892800000,1.27171,1.2798,1.2683,1.27971,163998
1710979200000,1.27974,1.28033,1.26462,1.266,177979
1711065600000,1.26598,1.2675,1.2574,1.26,152315
1711238400000,1.25961,1.25993,1.25915,1.25971,2310
1711324800000,1.25972,1.26522,1.259,1.26359,129612
1711411200000,1.26358,1.2668,1.26202,1.26273,137718
1711497600000,1.26274,1.2641,1.2604,1.26164,137157
1711584000000,1.26173,1.26542,1.2584,1.26206,141995
1711670400000,1.26196,1.2646,1.26073,1.2625,44607
1711843200000,1.26262,1.26418,1.26242,1.26371,3451
1711929600000,1.26373,1.2643,1.2538,1.25459,114386
1712016000000,1.25456,1.2582,1.2538,1.25754,131474
1712102400000,1.25753,1.2656,1.25617,1.2651,144702
1712188800000,1.26504,1.26834,1.26325,1.26388,141981
1712275200000,1.26387,1.2649,1.25732,1.2637,145255
1712448000000,1.26302,1.26334,1.262,1.26235,3000
1712534400000,1.2622,1.26642,1.2612,1.26572,147841
1712620800000,1.26572,1.27091,1.2647,1.26767,136342
1712707200000,1.26762,1.27048,1.2518,1.25362,149512
1712793600000,1.25363,1.25785,1.2509,1.2552,165783
1712880000000,1.25543,1.2559,1.2425,1.2456,166683
1713052800000,1.24461,1.24627,1.24439,1.24592,4277
1713139200000,1.24591,1.2499,1.2434,1.24456,178341
1713225600000,1.2446,1.24719,1.2404,1.24299,189544
1713312000000,1.24299,1.24818,1.2416,1.24524,177054
1713398400000,1.24529,1.24845,1.2429,1.24343,156981
1713484800000,1.24342,1.24684,1.2358,1.2368,190145
1713657600000,1.2371,1.2379,1.23653,1.23747,2601
1713744000000,1.23755,1.2393,1.2298,1.2349,142483
1713830400000,1.23492,1.2459,1.233,1.24541,154849
1713916800000,1.24541,1.247,1.2421,1.24589,121455
1714003200000,1.24591,1.2529,1.2453,1.25069,167482
1714089600000,1.25068,1.2541,1.2448,1.2487,156152
1714262400000,1.24827,1.251,1.24811,1.25093,2177
1714348800000,1.25091,1.25692,1.2506,1.25588,166905
1714435200000,1.25587,1.2561,1.24837,1.24884,166202
1714521600000,1.24885,1.25496,1.2465,1.25336,142821
1714608000000,1.25357,1.2545,1.2471,1.2539,163989
1714694400000,1.25394,1.2634,1.25286,1.25461,159509
1714867200000,1.2547,1.25529,1.2539,1.25402,2365
1714953600000,1.25399,1.2595,1.2537,1.25616,135829
1715040000000,1.25602,1.25706,1.2488,1.25,140237
1715126400000,1.25007,1.2505,1.2466,1.24927,140317
1715212800000,1.24928,1.2531,1.2445,1.25245,147303
1715299200000,1.25246,1.2541,1.2501,1.2524,139930
1715472000000,1.25156,1.2527,1.25156,1.25217,2308
1715558400000,1.25214,1.2569,1.2516,1.25597,140379
1715644800000,1.25597,1.2593,1.25085,1.2584,146294
1715731200000,1.25833,1.2694,1.2582,1.26883,151428
1715817600000,1.26881,1.27008,1.2643,1.267,141756
1715904000000,1.26707,1.2712,1.2643,1.27,124503
1716076800000,1.26835,1.2708,1.26835,1.27055,1836
1716163200000,1.27056,1.27252,1.2688,1.27094,129177
1716249600000,1.27094,1.2727,1.2686,1.27095,131775
1716336000000,1.27092,1.27612,1.2699,1.27198,153634
1716422400000,1.27199,1.27465,1.2684,1.26928,156117
1716508800000,1.26928,1.2751,1.26731,1.2737,128211
1716681600000,1.27302,1.27428,1.27302,1.27336,2296
1716768000000,1.27335,1.2778,1.2732,1.2771,90449
1716854400000,1.2771,1.28005,1.2752,1.2757,138618
1716940800000,1.27569,1.2772,1.2693,1.26972,150734
1717027200000,1.26972,1.27472,1.2679,1.2728,146249
1717113600000,1.2727,1.2766,1.2698,1.274,145031
1717286400000,1.27355,1.27451,1.27348,1.27439,2917
1717372800000,1.27439,1.2815,1.2693,1.28096,154207
1717459200000,1.28095,1.28171,1.27424,1.27719,158079
1717545600000,1.27724,1.27954,1.2754,1.27933,141642
1717632000000,1.27932,1.2809,1.2762,1.27917,133041
1717718400000,1.27915,1.28177,1.2714,1.2721,149022
1717891200000,1.27266,1.27315,1.2713,1.27278,3067
1717977600000,1.27279,1.27373,1.2687,1.27255,139690
1718064000000,1.27254,1.27514,1.2705,1.27395,140816
1718150400000,1.27396,1.28603,1.2731,1.27959,165526
1718236800000,1.2796,1.28076,1.27356,1.27536,157392
1718323200000,1.27535,1.27631,1.2655,1.2686,159370
1718496000000,1.26817,1.26871,1.2658,1.2682,2910
1718582400000,1.26829,1.27141,1.2657,1.27135,139990
1718668800000,1.27136,1.27208,1.2667,1.27066,147739
1718755200000,1.2706,1.274,1.26974,1.27198,107203
1718841600000,1.27199,1.27201,1.26481,1.26595,108534
1718928000000,1.26594,1.26746,1.26208,1.2644,98355
1719100800000,1.26389,1.2652,1.2634,1.26378,2791
1719187200000,1.26378,1.2698,1.2631,1.26817,134790
1719273600000,1.26818,1.27024,1.2669,1.2683,127019
1719360000000,1.26837,1.26932,1.2613,1.26205,142117
1719446400000,1.26206,1.26705,1.2611,1.2644,139891
1719532800000,1.2644,1.26647,1.2618,1.26445,146538
1719705600000,1.26508,1.26578,1.26422,1.26483,3066
1719792000000,1.26483,1.27101,1.2632,1.26444,123859
1719878400000,1.26446,1.2692,1.2614,1.26872,132312
1719964800000,1.26872,1.27773,1.2676,1.27466,106947
1720051200000,1.27466,1.2768,1.2739,1.27546,96253
1720137600000,1.27546,1.2818,1.2753,1.2813,129390
1720310400000,1.27945,1.28156,1.27919,1.2806,2949
1720396800000,1.28054,1.2846,1.27899,1.28147,123177
1720483200000,1.28151,1.28251,1.27673,1.2786,123550
1720569600000,1.2788,1.2854,1.2782,1.28538,119448
1720656000000,1.28539,1.29491,1.2848,1.2923,148403
1720742400000,1.29231,1.2995,1.2901,1.2989,138698
1720915200000,1.29634,1.29816,1.29622,1.29669,3362
1721001600000,1.29668,1.29944,1.29528,1.29689,141566
1721088000000,1.29689,1.29794,1.2937,1.29727,143852
1721174400000,1.29763,1.30441,1.2964,1.30078,143187
1721260800000,1.30065,1.3013,1.2928,1.29482,153192
1721347200000,1.29482,1.29485,1.2899,1.29121,127191
1721520000000,1.29126,1.2939,1.29089,1.29321,3775
1721606400000,1.29322,1.29421,1.2904,1.29308,138227
1721692800000,1.29304,1.2935,1.2886,1.29008,135152
1721779200000,1.29006,1.29377,1.2876,1.28976,150813
